,Cod. Departamento,codigo_municipio,LATITUD,LONGITUD,CON_DISCAPACIDAD,ETNICO,EDUC_MEDIA,TECNICO/TECNOLOGO,PREGRADO,POSGRADO,Mayor20,TOTAL,PET,OCU,DSO,FT,Valor agregado 2022,Peso relativo municipal en el valor agregado departamental (%),% Act. primarias municipio,% Act. secundarias municipio,% Act. terciarias municipio,Valor agregado 2021,Crecimiento 2022,Producción (t)
count,18696.0,18697.0,18696.0,18696.0,18696.0,18696.0,18696.0,18696.0,18696.0,18696.0,18696.0,18696.0,18696.0,18696.0,18696.0,18696.0,18695.0,18695.0,18695.0,18695.0,18695.0,18695.0,18695.0,18697.0
mean,39.67099914420197,40100.960635396055,5.394176094852429,-74.82170975055597,3078.076700898588,4606.28080872914,8199.690682498931,2917.7035729567824,3368.606921266581,913.2761553273427,28711.048940949935,41684.148694908,32350.3385216089,16732.275299529312,1901.2406397090288,18633.51593923834,1162.5291798962849,3.190334630773299,37.906932437288226,9.838287192466018,52.25478037024576,948.049152102094,28.93170210096104,12153.533237199721
std,25.329802478380962,25309.87738425841,2.587618510299877,1.592289939272995,11232.028763190983,17212.600421678617,36294.97630243532,15376.08998627646,18929.152797529405,5809.156423820647,117588.24887310594,159560.13994034924,130113.26493825675,72199.52142878142,8019.516689792702,80093.0785252913,5246.6456401125315,8.779185491737874,20.379758716902263,10.962048216744693,18.639983661693407,4507.964766437921,18.200347511979057,166359.5112570074
min,5.0,5001.0,-3.631323222,-81.717623824,0.0,0.0,3.0,0.0,0.0,0.0,74.0,166.0,103.0,8.0,2.0,11.0,1.3163026177875723,0.0261506897928159,0.0146148962326637,0.1728239567181033,1.2313262471072344,1.337543852528293,-31.27116795397402,0.0
25%,17.0,17272.0,3.743693084,-75.942753858,630.0,23.0,862.0,160.0,147.0,42.0,4366.0,6498.0,4959.0,2267.0,142.0,2521.0,122.98802409155552,0.2983376496495243,22.33197627377804,5.319305571817369,38.78462920357085,99.10774976210396,20.25417673022953,90.0
50%,41.0,41244.0,5.281599258,-74.982674126,1143.0,184.0,1899.0,370.0,332.0,87.0,8288.0,12457.0,9392.0,4527.5,393.0,4886.0,262.9342979358428,0.7332168676703439,38.29138489726824,6.482778557767814,51.78397423745834,202.72872256614147,26.067217529499697,425.0
75%,66.0,66440.0,6.750907234,-73.496633724,2373.0,2559.0,4463.0,1062.0,951.0,228.0,17356.0,27455.0,20124.0,9790.0,1103.0,10762.0,617.0324225373515,1.862181799684565,52.66790817851691,8.34532812021607,66.87351620244476,477.31296617075714,33.6430573593758,2237.0
max,99.0,99773.0,13.3511096,-67.001518001,458088.0,272738.0,1514394.0,700821.0,1141383.0,416022.0,5291812.0,7181469.0,5847519.0,3626874.0,337174.0,3964048.0,316317.4931158176,100.0,98.59584979617466,76.21236494834692,96.8308836304956,268745.9130818168,217.5217886502009,14268340.5
