Cod. Departamento,Nombre Departamento,Cod. Municipio,Nombre Municipio,Tipo,LATITUD,LONGITUD
5,ANTIOQUIA,5411,LIBORINA,Municipio,6.723990935,-75.783000458
5,ANTIOQUIA,5425,MACEO,Municipio,6.534573585,-74.714108541
5,ANTIOQUIA,5440,MARINILLA,Municipio,6.18520515,-75.304879329
5,ANTIOQUIA,5467,MONTEBELLO,Municipio,5.916853903,-75.519726926
5,ANTIOQUIA,5475,MURINDÓ,Municipio,6.828773855,-76.708613491
5,ANTIOQUIA,5480,MUTATÁ,Municipio,7.329557848,-76.463065695
5,ANTIOQUIA,5483,NARIÑO,Municipio,5.581275312,-75.194570185
5,ANTIOQUIA,5490,NECOCLÍ,Municipio,8.493728551,-76.676995884
5,ANTIOQUIA,5495,NECHÍ,Municipio,7.983477394,-74.65844186
5,ANTIOQUIA,5501,OLAYA,Municipio,6.611418083,-75.775670969
5,ANTIOQUIA,5541,PEÑOL,Municipio,6.232396368,-75.223509055
5,ANTIOQUIA,5543,PEQUE,Municipio,7.044180058,-75.889688434
5,ANTIOQUIA,5576,PUEBLORRICO,Municipio,5.80970186,-75.860766666
5,ANTIOQUIA,5579,PUERTO BERRÍO,Municipio,6.481922267,-74.528742101
5,ANTIOQUIA,5585,PUERTO NARE,Municipio,6.126539139,-74.703177217
5,ANTIOQUIA,5591,PUERTO TRIUNFO,Municipio,5.954830151,-74.686191798
5,ANTIOQUIA,5604,REMEDIOS,Municipio,6.997267375,-74.558656518
5,ANTIOQUIA,5607,RETIRO,Municipio,6.053444254,-75.515738045
5,ANTIOQUIA,5615,RIONEGRO,Municipio,6.150785807,-75.410760524
5,ANTIOQUIA,5628,SABANALARGA,Municipio,6.901000506,-75.792227535
5,ANTIOQUIA,5631,SABANETA,Municipio,6.138305183,-75.608805993
5,ANTIOQUIA,5642,SALGAR,Municipio,5.970502334,-75.981372511
5,ANTIOQUIA,5647,SAN ANDRÉS DE CUERQUÍA,Municipio,6.918427233,-75.6657758
5,ANTIOQUIA,5649,SAN CARLOS,Municipio,6.193789659,-74.90732769
5,ANTIOQUIA,5652,SAN FRANCISCO,Municipio,5.840093731,-74.98176334
5,ANTIOQUIA,5656,SAN JERÓNIMO,Municipio,6.438300409,-75.703107272
5,ANTIOQUIA,5658,SAN JOSÉ DE LA MONTAÑA,Municipio,6.823258913,-75.677708262
5,ANTIOQUIA,5659,SAN JUAN DE URABÁ,Municipio,8.707141583,-76.532482343
5,ANTIOQUIA,5660,SAN LUIS,Municipio,6.024205956,-75.007667403
5,ANTIOQUIA,5664,SAN PEDRO DE LOS MILAGROS,Municipio,6.458666308,-75.562483898
5,ANTIOQUIA,5665,SAN PEDRO DE URABÁ,Municipio,8.37915695,-76.316642334
5,ANTIOQUIA,5667,SAN RAFAEL,Municipio,6.31074453,-74.998586516
5,ANTIOQUIA,5670,SAN ROQUE,Municipio,6.466165211,-74.945073196
5,ANTIOQUIA,5674,SAN VICENTE FERRER,Municipio,6.310387522,-75.327401628
5,ANTIOQUIA,5679,SANTA BÁRBARA,Municipio,5.878984956,-75.583303711
5,ANTIOQUIA,5686,SANTA ROSA DE OSOS,Municipio,6.675827825,-75.438143332
5,ANTIOQUIA,5690,SANTO DOMINGO,Municipio,6.481044132,-75.142600968
5,ANTIOQUIA,5697,EL SANTUARIO,Municipio,6.124209495,-75.252122776
5,ANTIOQUIA,5736,SEGOVIA,Municipio,7.26692339,-74.621639263
5,ANTIOQUIA,5756,SONSÓN,Municipio,5.826388779,-74.836376225
5,ANTIOQUIA,5761,SOPETRÁN,Municipio,6.520164552,-75.745809033
